model,dataset,layer,speaker,score
hubert_kmeans,dev-other,2,within,14.672
hubert_kmeans,dev-other,3,across,19.297
hubert_kmeans,dev-other,3,within,12.987
hubert_kmeans,dev-other,4,across,16.955
hubert_kmeans,dev-other,4,within,11.234
hubert_kmeans,dev-other,5,across,13.928
hubert_kmeans,dev-other,5,within,9.170
hubert_kmeans,dev-other,6,across,12.373
hubert_kmeans,dev-other,6,within,8.761
hubert_kmeans,dev-other,7,across,11.309
hubert_kmeans,dev-other,7,within,8.102
hubert_kmeans,dev-other,8,across,11.369
hubert_kmeans,dev-other,8,within,8.309
hubert_kmeans,dev-other,9,across,11.389
hubert_kmeans,dev-other,9,within,8.370
hubert_kmeans,dev-other,10,across,10.100
hubert_kmeans,dev-other,10,within,7.771
hubert_kmeans,dev-other,11,across,10.436
hubert_kmeans,dev-other,11,within,7.284
hubert_kmeans,dev-other,12,across,12.255
hubert_kmeans,dev-other,12,within,8.406
spidr_codebooks,dev-clean,5,across,6.781
spidr_codebooks,dev-clean,5,within,6.076
spidr_codebooks,dev-clean,6,across,5.776
spidr_codebooks,dev-clean,6,within,4.923
spidr_codebooks,dev-clean,7,across,6.887
spidr_codebooks,dev-clean,7,within,5.264
spidr_codebooks,dev-clean,8,across,13.175
spidr_codebooks,dev-clean,8,within,8.910
spidr_codebooks,dev-clean,9,across,17.834
spidr_codebooks,dev-clean,9,within,11.892
spidr_codebooks,dev-clean,10,across,18.926
spidr_codebooks,dev-clean,10,within,12.934
spidr_codebooks,dev-clean,11,across,20.767
spidr_codebooks,dev-clean,11,within,14.356
spidr_codebooks,dev-clean,12,across,22.572
spidr_codebooks,dev-clean,12,within,15.516
spidr_codebooks,dev-other,5,across,9.150
spidr_codebooks,dev-other,5,within,7.139
spidr_codebooks,dev-other,6,across,8.279
spidr_codebooks,dev-other,6,within,6.270
spidr_codebooks,dev-other,7,across,9.605
spidr_codebooks,dev-other,7,within,6.981
spidr_codebooks,dev-other,8,across,16.978
spidr_codebooks,dev-other,8,within,10.937
spidr_codebooks,dev-other,9,across,21.901
spidr_codebooks,dev-other,9,within,14.182
spidr_codebooks,dev-other,10,across,23.541
spidr_codebooks,dev-other,10,within,15.582
spidr_codebooks,dev-other,11,across,25.291
spidr_codebooks,dev-other,11,within,16.794
spidr_codebooks,dev-other,12,across,27.270
spidr_codebooks,dev-other,12,within,18.446
spidr_kmeans,dev-clean,1,across,13.103
spidr_kmeans,dev-clean,1,within,10.879
spidr_kmeans,dev-clean,2,across,10.442
spidr_kmeans,dev-clean,2,within,8.908
spidr_kmeans,dev-clean,3,across,12.658
spidr_kmeans,dev-clean,3,within,10.976
spidr_kmeans,dev-clean,4,across,21.273
spidr_kmeans,dev-clean,4,within,18.801
spidr_kmeans,dev-clean,5,across,9.373
spidr_kmeans,dev-clean,5,within,8.476
spidr_kmeans,dev-clean,6,across,6.650
spidr_kmeans,dev-clean,6,within,6.000
spidr_kmeans,dev-clean,7,across,6.583
spidr_kmeans,dev-clean,7,within,5.276
spidr_kmeans,dev-clean,8,across,13.254
spidr_kmeans,dev-clean,8,within,9.043
spidr_kmeans,dev-clean,9,across,19.255
spidr_kmeans,dev-clean,9,within,12.868
spidr_kmeans,dev-clean,10,across,20.797
spidr_kmeans,dev-clean,10,within,14.221
spidr_kmeans,dev-clean,11,across,23.074
spidr_kmeans,dev-clean,11,within,16.064
spidr_kmeans,dev-clean,12,across,24.541
spidr_kmeans,dev-clean,12,within,17.186
spidr_kmeans,dev-other,1,across,22.024
spidr_kmeans,dev-other,1,within,15.709
spidr_kmeans,dev-other,2,across,20.257
spidr_kmeans,dev-other,2,within,15.417
spidr_kmeans,dev-other,3,across,18.188
spidr_kmeans,dev-other,3,within,14.442
spidr_kmeans,dev-other,4,across,25.027
spidr_kmeans,dev-other,4,within,20.835
spidr_kmeans,dev-other,5,across,11.790
spidr_kmeans,dev-other,5,within,9.385
spidr_kmeans,dev-other,6,across,9.107
spidr_kmeans,dev-other,6,within,7.056
spidr_kmeans,dev-other,7,across,9.241
spidr_kmeans,dev-other,7,within,6.672
spidr_kmeans,dev-other,8,across,17.128
spidr_kmeans,dev-other,8,within,11.384
spidr_kmeans,dev-other,9,across,23.538
spidr_kmeans,dev-other,9,within,15.372
spidr_kmeans,dev-other,10,across,25.292
spidr_kmeans,dev-other,10,within,16.750
spidr_kmeans,dev-other,11,across,27.518
spidr_kmeans,dev-other,11,within,18.687
spidr_kmeans,dev-other,12,across,29.488
spidr_kmeans,dev-other,12,within,20.143
wav2vec2_kmeans,dev-clean,6,across,8.271
wav2vec2_kmeans,dev-clean,6,within,7.097
wav2vec2_kmeans,dev-other,6,across,12.574
wav2vec2_kmeans,dev-other,6,within,9.377
wavlm_kmeans,dev-clean,11,across,6.311
wavlm_kmeans,dev-clean,11,within,5.379
wavlm_kmeans,dev-other,11,across,9.380
wavlm_kmeans,dev-other,11,within,6.981
